name,team,nationality,gender,specialty
"Stan DEWULF","DECATHLON CMA CGM TEAM (DCT)","BEL","M",""
"Robbe DHONDT","TEAM PICNIC POSTNL (TPP)","BEL","M",""
"Silvan DILLIER","ALPECIN-PREMIER TECH (APT)","SUI","M",""
"Matthew DINHAM","TEAM PICNIC POSTNL (TPP)","AUS","M",""
"Aaron DOCKX","ALPECIN-PREMIER TECH (APT)","BEL","M",""
"Robert DONALDSON","TEAM JAYCO ALULA (JAY)","GBR","M",""
"Tom DONNENWIRTH","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Paul DOUBLE","TEAM JAYCO ALULA (JAY)","GBR","M",""
"Owain DOULL","TEAM VISMA | LEASE A BIKE (TVL)","GBR","M",""
"Jarrad Eriks DRIZNERS","RED BULL - BORA - HANSGROHE (RBH)","AUS","M",""
"Luke DURBRIDGE","TEAM JAYCO ALULA (JAY)","AUS","M",""
"Fredrik DVERSNES","UNO-X MOBILITY (UXM)","NOR","M",""
"Nils EEKHOFF","TEAM PICNIC POSTNL (TPP)","NED","M",""
"Pascal EENKHOORN","SOUDAL QUICK-STEP (SOQ)","NED","M",""
"Itamar EINHORN","NSN CYCLING TEAM (NSN)","ISR","M",""
"Felix ENGELHARDT","TEAM JAYCO ALULA (JAY)","GER","M",""
"Roman ERMAKOV","BAHRAIN VICTORIOUS (TBV)","RUS","M",""
"Žak ERŽEN","BAHRAIN VICTORIOUS (TBV)","SLO","M",""
"Haimar ETXEBERRIA ANSALAS","RED BULL - BORA - HANSGROHE (RBH)","ESP","M",""
"Afonso EULÁLIO","BAHRAIN VICTORIOUS (TBV)","POR","M",""
"Remco EVENEPOEL","RED BULL - BORA - HANSGROHE (RBH)","BEL","M",""
"Alexy FAURE PROST","TEAM PICNIC POSTNL (TPP)","FRA","M",""
"Yevgeniy FEDOROV","XDS ASTANA TEAM (XAT)","KAZ","M",""
"Filippo FIORELLI","TEAM VISMA | LEASE A BIKE (TVL)","ITA","M",""
"Finn Lachlan Fox FISHER-BLACK","RED BULL - BORA - HANSGROHE (RBH)","NZL","M",""
"Sean FLYNN","TEAM PICNIC POSTNL (TPP)","GBR","M",""
"Anders FOLDAGER","TEAM JAYCO ALULA (JAY)","DEN","M",""
"Titouan FONTAINE","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Davide FORMOLO","MOVISTAR TEAM (MOV)","ITA","M",""
"Lorenzo FORTUNATO","XDS ASTANA TEAM (XAT)","ITA","M",""
"Tobias Svendsen FOSS","INEOS GRENADIERS (IGD)","NOR","M",""
"Luke Matthew FOX","LOTTO INTERMARCHÉ (LOI)","AUS","M",""
"Stian FREDHEIM","UNO-X MOBILITY (UXM)","NOR","M",""
"Marco FRIGO","NSN CYCLING TEAM (NSN)","ITA","M",""
"Mattia GAFFURI","TEAM PICNIC POSTNL (TPP)","ITA","M",""
"Felix GALL","DECATHLON CMA CGM TEAM (DCT)","AUT","M",""
"Patrick GAMPER","TEAM JAYCO ALULA (JAY)","AUT","M",""
"Filippo GANNA","INEOS GRENADIERS (IGD)","ITA","M",""
"Ivan GARCIA CORTINA","MOVISTAR TEAM (MOV)","ESP","M",""
"Raul GARCIA PIERNA","MOVISTAR TEAM (MOV)","ESP","M",""
"Gianmarco GAROFOLI","SOUDAL QUICK-STEP (SOQ)","ITA","M",""
"Aaron GATE","XDS ASTANA TEAM (XAT)","NZL","M",""
"David GAUDU","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Pierre GAUTHERAT","DECATHLON CMA CGM TEAM (DCT)","FRA","M",""
"Derek GEE","LIDL-TREK (LTK)","CAN","M",""
"Jonas GEENS","ALPECIN-PREMIER TECH (APT)","BEL","M",""
"Gil GELDERS","SOUDAL QUICK-STEP (SOQ)","BEL","M",""
"Kévin GENIETS","GROUPAMA-FDJ UNITED (GFC)","LUX","M",""
"Tao GEOGHEGAN HART","LIDL-TREK (LTK)","GBR","M",""
"Lorenzo GERMANI","GROUPAMA-FDJ UNITED (GFC)","ITA","M",""
"Amanuel GHEBREIGZABHIER","LIDL-TREK (LTK)","ERI","M",""
"Robbe GHYS","DECATHLON CMA CGM TEAM (DCT)","BEL","M",""
"Joshua GIDDINGS","LOTTO INTERMARCHÉ (LOI)","GBR","M",""
"Brady GILMORE","NSN CYCLING TEAM (NSN)","AUS","M",""
"Biniam GIRMAY","NSN CYCLING TEAM (NSN)","ERI","M",""
"Gal GLIVAR","ALPECIN-PREMIER TECH (APT)","SLO","M",""
"Dorian GODON","INEOS GRENADIERS (IGD)","FRA","M",""
"Michael GOGL","ALPECIN-PREMIER TECH (APT)","AUT","M",""
"Joao Pedro GONÇALVES ALMEIDA","UAE TEAM EMIRATES XRG (UAD)","POR","M",""
"Lev GONOV","XDS ASTANA TEAM (XAT)","RUS","M",""
"Matevž GOVEKAR","BAHRAIN VICTORIOUS (TBV)","SLO","M",""
"Tijmen GRAAT","TEAM VISMA | LEASE A BIKE (TVL)","NED","M",""
"Kamil GRADEK","BAHRAIN VICTORIOUS (TBV)","POL","M",""
"Romain GREGOIRE","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Sébastien GRIGNARD","LOTTO INTERMARCHÉ (LOI)","BEL","M",""
"Matys GRISEL","LOTTO INTERMARCHÉ (LOI)","FRA","M",""
"Felix GROSSSCHARTNER","UAE TEAM EMIRATES XRG (UAD)","AUT","M",""
"Kaden Alexander GROVES","ALPECIN-PREMIER TECH (APT)","AUS","M",""
"Thibaud GRUEL","GROUPAMA-FDJ UNITED (GFC)","FRA","M",""
"Simone GUALDI","LOTTO INTERMARCHÉ (LOI)","ITA","M",""
"Tord GUDMESTAD","DECATHLON CMA CGM TEAM (DCT)","NOR","M",""
"Per Strand HAGENES","TEAM VISMA | LEASE A BIKE (TVL)","NOR","M",""
"Jack HAIG","INEOS GRENADIERS (IGD)","AUS","M",""
"Alexander HAJEK","RED BULL - BORA - HANSGROHE (RBH)","AUT","M",""
"Chris HAMILTON","TEAM PICNIC POSTNL (TPP)","AUS","M",""
"Wade Lucas HAMILTON","INEOS GRENADIERS (IGD)","AUS","M",""
"Øxenberg Peter HANSEN","INEOS GRENADIERS (IGD)","DEN","M",""
"Alan HATHERLY","TEAM JAYCO ALULA (JAY)","RSA","M",""
"Ethan Edward HAYTER","SOUDAL QUICK-STEP (SOQ)","GBR","M",""
"Ben HEALY","EF EDUCATION - EASYPOST (EFE)","IRL","M",""
"Kim Alexander HEIDUK","INEOS GRENADIERS (IGD)","GER","M",""
"Asbjørn HELLEMOSE","TEAM JAYCO ALULA (JAY)","DEN","M",""
"Rune HERREGODTS","UAE TEAM EMIRATES XRG (UAD)","BEL","M",""
"Emil HERZOG","RED BULL - BORA - HANSGROHE (RBH)","GER","M",""
"Michel HEßMANN","MOVISTAR TEAM (MOV)","GER","M",""
"Sergio Andres HIGUITA GARCIA","XDS ASTANA TEAM (XAT)","COL","M",""
"Jai HINDLEY","RED BULL - BORA - HANSGROHE (RBH)","AUS","M",""
"Jan HIRT","NSN CYCLING TEAM (NSN)","CZE","M",""
"Alfred Bruce Noah HOBBS","EF EDUCATION - EASYPOST (EFE)","GBR","M",""
"Markus HOELGAARD","UNO-X MOBILITY (UXM)","NOR","M",""
"Hugo HOFSTETTER","NSN CYCLING TEAM (NSN)","FRA","M",""
"Ådne HOLTER","UNO-X MOBILITY (UXM)","NOR","M",""
"Frølich Mikkel HONORÉ","EF EDUCATION - EASYPOST (EFE)","DEN","M",""
"Daan HOOLE","DECATHLON CMA CGM TEAM (DCT)","NED","M",""
"Hugo HOULE","ALPECIN-PREMIER TECH (APT)","CAN","M",""
