"name","team","nationality","gender","specialty"
"Marie LE NET","FDJ UNITED - SUEZ (TFS)","FRA","F",""
"Marine LENEHAN","LIDL - TREK (LTK)","IRL","F",""
"Liane LIPPERT","MOVISTAR TEAM (MOV)","GER","F",""
"Carys LLOYD","MOVISTAR TEAM (MOV)","GBR","F",""
"Juliana LONDOÑO DAVID","TEAM PICNIC POSTNL (TPP)","COL","F",""
"Elisa LONGO BORGHINI","UAE TEAM ADQ (UAD)","ITA","F",""
"Anya LOUW","AG INSURANCE - SOUDAL TEAM (AGS)","AUS","F",""
"Uttrup Cecilie LUDWIG","CANYON//SRAM ZONDACRYPTO (CSZ)","DEN","F",""
"Floortje MACKAIJ","MOVISTAR TEAM (MOV)","NED","F",""
"Erica MAGNALDI","UAE TEAM ADQ (UAD)","ITA","F",""
"Alexis MAGNER","EF EDUCATION - OATLY (EFO)","USA","F",""
"Barbara MALCOTTI","HUMAN POWERED HEALTH (HPH)","ITA","F",""
"Alexandra Grace MANLY","AG INSURANCE - SOUDAL TEAM (AGS)","AUS","F",""
"Riejanne MARKUS","LIDL - TREK (LTK)","NED","F",""
"Femke MARKUS","TEAM SD WORX - PROTIME (SDW)","NED","F",""
"Sara MARTIN MARTIN","MOVISTAR TEAM (MOV)","ESP","F",""
"Maria MARTINS","CANYON//SRAM ZONDACRYPTO (CSZ)","POR","F",""
"Greta MARTURANO","UAE TEAM ADQ (UAD)","ITA","F",""
"Gaia MASETTI","TEAM PICNIC POSTNL (TPP)","ITA","F",""
"Mareille MEIJER","MOVISTAR TEAM (MOV)","NED","F",""
"Dilyxine MIERMONT","TEAM PICNIC POSTNL (TPP)","FRA","F",""
"Mona MITTERWALLNER","HUMAN POWERED HEALTH (HPH)","AUT","F",""
"Ashleigh MOOLMAN PASIO","AG INSURANCE - SOUDAL TEAM (AGS)","RSA","F",""
"Fleur MOORS","LIDL - TREK (LTK)","BEL","F",""
"Evita MUZIC","FDJ UNITED - SUEZ (TFS)","FRA","F",""
"Josie NELSON","TEAM PICNIC POSTNL (TPP)","GBR","F",""
"Antonia NIEDERMAIER","CANYON//SRAM ZONDACRYPTO (CSZ)","GER","F",""
"Kasia NIEWIADOMA-PHINNEY","CANYON//SRAM ZONDACRYPTO (CSZ)","POL","F",""
"Lieke NOOIJEN","TEAM VISMA | LEASE A BIKE (TVL)","NED","F",""
"Caoimhe O BRIEN","EF EDUCATION - OATLY (EFO)","IRL","F",""
"Paula OSTIZ TACO","MOVISTAR TEAM (MOV)","ESP","F",""
"Mie Bjørndal OTTESTAD","UNO-X MOBILITY (UXM)","NOR","F",""
"Maud OUDEMAN","TEAM VISMA | LEASE A BIKE (TVL)","NED","F",""
"Soraya PALADIN","CANYON//SRAM ZONDACRYPTO (CSZ)","ITA","F",""
"Amber PATE","LIV-ALULA-JAYCO (LIV)","AUS","F",""
"Letizia PATERNOSTER","LIV-ALULA-JAYCO (LIV)","ITA","F",""
"Francesca PELLEGRINI","UNO-X MOBILITY (UXM)","ITA","F",""
"Flora PERKINS","FENIX-PREMIER TECH (FPC)","GBR","F",""
"Silvia PERSICO","UAE TEAM ADQ (UAD)","ITA","F",""
"Puck PIETERSE","FENIX-PREMIER TECH (FPC)","NED","F",""
"Daria PIKULIK","HUMAN POWERED HEALTH (HPH)","POL","F",""
"Wiktoria PIKULIK","HUMAN POWERED HEALTH (HPH)","POL","F",""
"Ilse PLUIMERS","AG INSURANCE - SOUDAL TEAM (AGS)","NED","F",""
"Marit RAAIJMAKERS","HUMAN POWERED HEALTH (HPH)","NED","F",""
"Katia RAGUSA","HUMAN POWERED HEALTH (HPH)","ITA","F",""
"Eglantine RAYER GIRAULT","FDJ UNITED - SUEZ (TFS)","FRA","F",""
"Gaia REALINI","LIDL - TREK (LTK)","ITA","F",""
"Rosita REIJNHOUT","TEAM VISMA | LEASE A BIKE (TVL)","NED","F",""
"Marlen REUSSER","MOVISTAR TEAM (MOV)","SUI","F",""
"Mara ROLDAN","TEAM PICNIC POSTNL (TPP)","CAN","F",""
"Pauliena ROOIJAKKERS","UAE TEAM ADQ (UAD)","NED","F",""
"Ruby ROSEMAN-GANNON","LIV-ALULA-JAYCO (LIV)","AUS","F",""
"Noemi RÜEGG","EF EDUCATION - OATLY (EFO)","SUI","F",""
"Laura RUIZ PEREZ","MOVISTAR TEAM (MOV)","ESP","F",""
"Lucia RUIZ PEREZ","MOVISTAR TEAM (MOV)","ESP","F",""
"Titia RYO","HUMAN POWERED HEALTH (HPH)","FRA","F",""
"Katharina SADNIK","TEAM VISMA | LEASE A BIKE (TVL)","AUT","F",""
"Marie SCHREIBER","TEAM SD WORX - PROTIME (SDW)","LUX","F",""
"Carina SCHREMPF","FENIX-PREMIER TECH (FPC)","AUT","F",""
"Christina SCHWEINBERGER","FENIX-PREMIER TECH (FPC)","AUT","F",""
"Kathrin SCHWEINBERGER","HUMAN POWERED HEALTH (HPH)","AUT","F",""
"Arlenis SIERRA CANADILLA","MOVISTAR TEAM (MOV)","CUB","F",""
"Agnieszka SKALNIAK-SÓJKA","CANYON//SRAM ZONDACRYPTO (CSZ)","POL","F",""
"Silke SMULDERS","LIV-ALULA-JAYCO (LIV)","NED","F",""
"Amanda SPRATT","LIDL - TREK (LTK)","AUS","F",""
"Maeva SQUIBAN","UAE TEAM ADQ (UAD)","FRA","F",""
"Claire STEELS","MOVISTAR TEAM (MOV)","GBR","F",""
"Nicole STEIGENGA","AG INSURANCE - SOUDAL TEAM (AGS)","NED","F",""
"Petra STIASNY","HUMAN POWERED HEALTH (HPH)","SUI","F",""
"Becky STORRIE","TEAM PICNIC POSTNL (TPP)","GBR","F",""
"Karlijn SWINKELS","UAE TEAM ADQ (UAD)","NED","F",""
"Josie TALBOT","LIV-ALULA-JAYCO (LIV)","AUS","F",""
"Laura TOMASI","UNO-X MOBILITY (UXM)","ITA","F",""
"Quinty TON","LIV-ALULA-JAYCO (LIV)","NED","F",""
"Alice TOWERS","EF EDUCATION - OATLY (EFO)","GBR","F",""
"Monica TRINCA COLONEL","LIV-ALULA-JAYCO (LIV)","ITA","F",""
"Marthe TRUYEN","FENIX-PREMIER TECH (FPC)","BEL","F",""
"Elise UIJEN","TEAM PICNIC POSTNL (TPP)","NED","F",""
"Magdeleine VALLIERES MILL","EF EDUCATION - OATLY (EFO)","CAN","F",""
"Eva VAN AGT","FDJ UNITED - SUEZ (TFS)","NED","F",""
"Shirin VAN ANROOIJ","LIDL - TREK (LTK)","NED","F",""
"Lisa VAN BELLE","TEAM SD WORX - PROTIME (SDW)","NED","F",""
"Sarah VAN DAM","TEAM VISMA | LEASE A BIKE (TVL)","CAN","F",""
"Julie VAN DE VELDE","AG INSURANCE - SOUDAL TEAM (AGS)","BEL","F",""
"Anna VAN DER BREGGEN","TEAM SD WORX - PROTIME (SDW)","NED","F",""
"Maike VAN DER DUIN","CANYON//SRAM ZONDACRYPTO (CSZ)","NED","F",""
"Inge VAN DER HEIJDEN","FENIX-PREMIER TECH (FPC)","NED","F",""
"Babette VAN DER WOLF","EF EDUCATION - OATLY (EFO)","NED","F",""
"Fien VAN EYNDE","FENIX-PREMIER TECH (FPC)","BEL","F",""
"Sofie VAN ROOIJEN","UAE TEAM ADQ (UAD)","NED","F",""
"Xaydee VAN SINAEY","FENIX-PREMIER TECH (FPC)","BEL","F",""
"Margot VANPACHTENBEKE","LIDL - TREK (LTK)","BEL","F",""
"Blanka VAS","TEAM SD WORX - PROTIME (SDW)","HUN","F",""
"Nienke VEENHOVEN","TEAM VISMA | LEASE A BIKE (TVL)","NED","F",""
